CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,OBSERVACION,tiempo_24,tiempo_72,tiempo_72_mas
010202,AMAZONAS,BAGUA,ARAMANGO,PEAZN,DIST. NACIONAL,-,3,ALEJADO,,x,
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010201,AMAZONAS,BAGUA,BAGUA,PEAMZ,DIST. NACIONAL,-,4,URBANO,,,x
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,PEBGR,DIST. NACIONAL,-,3,ALEJADO,,x,
010103,AMAZONAS,CHACHAPOYAS,BALSAS,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010702,AMAZONAS,UTCUBAMBA,CAJARURO,PEAZN,DIST. NACIONAL,-,3,ALEJADO,,x,
010502,AMAZONAS,LUYA,CAMPORREDONDO,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PECHA,DIST. NACIONAL,-,8,URBANO,,,x
010104,AMAZONAS,CHACHAPOYAS,CHETO,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010302,AMAZONAS,BONGARA,CHISQUILLA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010303,AMAZONAS,BONGARA,CHURUJA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010503,AMAZONAS,LUYA,COCABAMBA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010504,AMAZONAS,LUYA,COLCAMAR,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010505,AMAZONAS,LUYA,CONILA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010203,AMAZONAS,BAGUA,COPALLIN,PEAZN,DIST. NACIONAL,-,3,ALEJADO,,x,
010304,AMAZONAS,BONGARA,COROSHA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010305,AMAZONAS,BONGARA,CUISPES,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010703,AMAZONAS,UTCUBAMBA,CUMBA,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010204,AMAZONAS,BAGUA,EL PARCO,PEAZN,DIST. NACIONAL,-,3,ALEJADO,,x,
010306,AMAZONAS,BONGARA,FLORIDA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010107,AMAZONAS,CHACHAPOYAS,GRANADA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010205,AMAZONAS,BAGUA,IMAZA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010506,AMAZONAS,LUYA,INGUILPATA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010705,AMAZONAS,UTCUBAMBA,JAMALCA,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010307,AMAZONAS,BONGARA,JAZAN,PEAZN,DIST. NACIONAL,-,3,ALEJADO,,x,
010301,AMAZONAS,BONGARA,JUMBILLA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010201,AMAZONAS,BAGUA,LA PECA,PEAZN,DIST. NACIONAL,-,3,ALEJADO,,x,
010501,AMAZONAS,LUYA,LAMUD,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010507,AMAZONAS,LUYA,LONGUITA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010508,AMAZONAS,LUYA,LONYA CHICO,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010509,AMAZONAS,LUYA,LUYA,PEAZN,DIST. NACIONAL,-,2,ALEJADO,,x,
010510,AMAZONAS,LUYA,LUYA VIEJO,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010511,AMAZONAS,LUYA,MARIA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
010608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
