CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,OBSERVACION,tiempo_24,tiempo_72,tiempo_72_mas
10202,AMAZONAS,BAGUA,ARAMANGO,PEAZN,DIST. NACIONAL,-,3,ALEJADO,,x,
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10201,AMAZONAS,BAGUA,BAGUA,PEAMZ,DIST. NACIONAL,-,4,URBANO,,,x
10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,PEBGR,DIST. NACIONAL,-,3,ALEJADO,,x,
10103,AMAZONAS,CHACHAPOYAS,BALSAS,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10702,AMAZONAS,UTCUBAMBA,CAJARURO,PEAZN,DIST. NACIONAL,-,3,ALEJADO,,x,
10502,AMAZONAS,LUYA,CAMPORREDONDO,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PECHA,DIST. NACIONAL,-,8,URBANO,,,x
10104,AMAZONAS,CHACHAPOYAS,CHETO,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10302,AMAZONAS,BONGARA,CHISQUILLA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10303,AMAZONAS,BONGARA,CHURUJA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10503,AMAZONAS,LUYA,COCABAMBA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10504,AMAZONAS,LUYA,COLCAMAR,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10505,AMAZONAS,LUYA,CONILA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10203,AMAZONAS,BAGUA,COPALLIN,PEAZN,DIST. NACIONAL,-,3,ALEJADO,,x,
10304,AMAZONAS,BONGARA,COROSHA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10305,AMAZONAS,BONGARA,CUISPES,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10703,AMAZONAS,UTCUBAMBA,CUMBA,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10402,AMAZONAS,CONDORCANQUI,EL CENEPA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10704,AMAZONAS,UTCUBAMBA,EL MILAGRO,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10204,AMAZONAS,BAGUA,EL PARCO,PEAZN,DIST. NACIONAL,-,3,ALEJADO,,x,
10306,AMAZONAS,BONGARA,FLORIDA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10107,AMAZONAS,CHACHAPOYAS,GRANADA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10205,AMAZONAS,BAGUA,IMAZA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10506,AMAZONAS,LUYA,INGUILPATA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10705,AMAZONAS,UTCUBAMBA,JAMALCA,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10307,AMAZONAS,BONGARA,JAZAN,PEAZN,DIST. NACIONAL,-,3,ALEJADO,,x,
10301,AMAZONAS,BONGARA,JUMBILLA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10201,AMAZONAS,BAGUA,LA PECA,PEAZN,DIST. NACIONAL,-,3,ALEJADO,,x,
10501,AMAZONAS,LUYA,LAMUD,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10507,AMAZONAS,LUYA,LONGUITA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10508,AMAZONAS,LUYA,LONYA CHICO,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10509,AMAZONAS,LUYA,LUYA,PEAZN,DIST. NACIONAL,-,2,ALEJADO,,x,
10510,AMAZONAS,LUYA,LUYA VIEJO,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10511,AMAZONAS,LUYA,MARIA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10401,AMAZONAS,CONDORCANQUI,NIEVA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10512,AMAZONAS,LUYA,OCALLI,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10513,AMAZONAS,LUYA,OCUMAL,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10514,AMAZONAS,LUYA,PISUQUIA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10515,AMAZONAS,LUYA,PROVIDENCIA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10308,AMAZONAS,BONGARA,RECTA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO ,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10309,AMAZONAS,BONGARA,SAN CARLOS,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10516,AMAZONAS,LUYA,SAN CRISTOBAL,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10518,AMAZONAS,LUYA,SAN JERONIMO,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10520,AMAZONAS,LUYA,SANTA CATALINA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA ,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10521,AMAZONAS,LUYA,SANTO TOMAS,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10310,AMAZONAS,BONGARA,SHIPASBAMBA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10121,AMAZONAS,CHACHAPOYAS,SONCHE,PEAZN,DIST. NACIONAL,-,8,ALEJADO,,,x
10522,AMAZONAS,LUYA,TINGO,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10523,AMAZONAS,LUYA,TRITA ,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10311,AMAZONAS,BONGARA,VALERA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
10312,AMAZONAS,BONGARA,YAMBRASBAMBA,PEAZN,DIST. NACIONAL,-,5,ALEJADO,,,x
10707,AMAZONAS,UTCUBAMBA,YAMON,PEAZN,DIST. NACIONAL,-,4,ALEJADO,,,x
20502,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21402,ANCASH,OCROS,ACAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
