CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,A TRAVÉS DE,OBSERVACION
10202,AMAZONAS,BAGUA,ARAMANGO,PEAZN,DIST. NACIONAL,-,3,LIM - JAE - BGR,ALEJADO
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,PEAZN,DIST. NACIONAL,-,8,LIM - JAE - CHA,ALEJADO
10201,AMAZONAS,BAGUA,BAGUA,PEAMZ,DIST. NACIONAL,-,4,LIM - JAE - BGR,URBANO
10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,PEBGR,DIST. NACIONAL,-,3,LIM - JAE - BGR,ALEJADO
10103,AMAZONAS,CHACHAPOYAS,BALSAS,PEAZN,DIST. NACIONAL,-,8,LIM - JAE - CHA,ALEJADO
10702,AMAZONAS,UTCUBAMBA,CAJARURO,PEAZN,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
10502,AMAZONAS,LUYA,CAMPORREDONDO,PEAZN,DIST. NACIONAL,-,5,LIM - TPP,ALEJADO
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PECHA,DIST. NACIONAL,-,8,LIM - HRZ,ALEJADO
10104,AMAZONAS,CHACHAPOYAS,CHETO,PEAZN,DIST. NACIONAL,-,8,LIM - CJA,ALEJADO
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,PEAZN,DIST. NACIONAL,-,8,LIM - CJA,ALEJADO
10602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,PEAZN,DIST. NACIONAL,-,4,LIM - CHM,ALEJADO
10302,AMAZONAS,BONGARA,CHISQUILLA,PEAZN,DIST. NACIONAL,-,5,LIM - JAE,ALEJADO
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,PEAZN,DIST. NACIONAL,-,8,LIM - HYO,ALEJADO
10303,AMAZONAS,BONGARA,CHURUJA,PEAZN,DIST. NACIONAL,-,5,LIM - HUU,ALEJADO
10503,AMAZONAS,LUYA,COCABAMBA,PEAZN,DIST. NACIONAL,-,5,LIM - CNT,ALEJADO
10603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,PEAZN,DIST. NACIONAL,-,4,LIM - HUU,ALEJADO
10504,AMAZONAS,LUYA,COLCAMAR,PEAZN,DIST. NACIONAL,-,5,LIM - HNV,ALEJADO
10505,AMAZONAS,LUYA,CONILA,PEAZN,DIST. NACIONAL,-,5,LIM - CHM,ALEJADO
10203,AMAZONAS,BAGUA,COPALLIN,PEAZN,DIST. NACIONAL,-,3,LIM - BAR,ALEJADO
10304,AMAZONAS,BONGARA,COROSHA,PEAZN,DIST. NACIONAL,-,5,LIM - CHM,ALEJADO
10305,AMAZONAS,BONGARA,CUISPES,PEAZN,DIST. NACIONAL,-,5,LIM - LIM,ALEJADO
10703,AMAZONAS,UTCUBAMBA,CUMBA,PEAZN,DIST. NACIONAL,-,4,LIM - HYO,ALEJADO
10402,AMAZONAS,CONDORCANQUI,EL CENEPA,PEAZN,DIST. NACIONAL,-,8,LIM - PIU,ALEJADO
10704,AMAZONAS,UTCUBAMBA,EL MILAGRO,PEAZN,DIST. NACIONAL,-,4,LIM - HYO,ALEJADO
10204,AMAZONAS,BAGUA,EL PARCO,PEAZN,DIST. NACIONAL,-,3,LIM - AND,ALEJADO
10306,AMAZONAS,BONGARA,FLORIDA,PEAZN,DIST. NACIONAL,-,5,LIM - TRU,ALEJADO
10107,AMAZONAS,CHACHAPOYAS,GRANADA,PEAZN,DIST. NACIONAL,-,8,LIM - CEP,ALEJADO
10604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,PEAZN,DIST. NACIONAL,-,4,LIM - AYP,ALEJADO
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,PEAZN,DIST. NACIONAL,-,8,LIM - AQP,ALEJADO
10205,AMAZONAS,BAGUA,IMAZA,PEAZN,DIST. NACIONAL,-,8,LIM - TCQ - ILQ,ALEJADO
10506,AMAZONAS,LUYA,INGUILPATA,PEAZN,DIST. NACIONAL,-,5,LIM - HYO,ALEJADO
10705,AMAZONAS,UTCUBAMBA,JAMALCA,PEAZN,DIST. NACIONAL,-,4,LIM - JAE,URBANO
10307,AMAZONAS,BONGARA,JAZAN,PEAZN,DIST. NACIONAL,-,3,LIM - CIX,ALEJADO
10301,AMAZONAS,BONGARA,JUMBILLA,PEAZN,DIST. NACIONAL,-,5,LIM - JUL,ALEJADO
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,PEAZN,DIST. NACIONAL,-,8,LIM - JAE - CHA,ALEJADO
10201,AMAZONAS,BAGUA,LA PECA,PEAZN,DIST. NACIONAL,-,3,LIM - JAE - BGR,ALEJADO
